法院,裁判年度,類別,筆數
臺灣臺中地方法院,112,刑事,429
臺灣臺中地方法院,112,民事,17
臺灣臺中地方法院,112,行政,1
臺灣臺中地方法院,113,刑事,443
臺灣臺中地方法院,113,民事,24
臺灣臺中地方法院,114,刑事,367
臺灣臺中地方法院,114,民事,29
臺灣臺中地方法院,115,刑事,192
臺灣臺中地方法院,115,民事,13
臺灣高等法院,112,刑事,381
臺灣高等法院,112,民事,39
臺灣高等法院,113,刑事,321
臺灣高等法院,113,民事,36
臺灣高等法院,114,刑事,316
臺灣高等法院,114,民事,42
臺灣高等法院,115,刑事,141
臺灣高等法院,115,民事,15
臺灣桃園地方法院,112,刑事,392
臺灣桃園地方法院,112,民事,14
臺灣桃園地方法院,112,行政,4
臺灣桃園地方法院,113,刑事,294
臺灣桃園地方法院,113,民事,20
臺灣桃園地方法院,114,刑事,303
臺灣桃園地方法院,114,民事,17
臺灣桃園地方法院,115,刑事,141
臺灣桃園地方法院,115,民事,6
臺灣高等法院 臺中分院,112,刑事,255
臺灣高等法院 臺中分院,112,民事,8
臺灣高等法院 臺中分院,113,刑事,279
臺灣高等法院 臺中分院,113,民事,14
臺灣高等法院 臺中分院,114,刑事,277
臺灣高等法院 臺中分院,114,民事,13
臺灣高等法院 臺中分院,115,刑事,103
臺灣高等法院 臺中分院,115,民事,4
臺灣新北地方法院,112,刑事,247
臺灣新北地方法院,112,民事,18
臺灣新北地方法院,112,行政,1
臺灣新北地方法院,113,刑事,233
臺灣新北地方法院,113,民事,23
臺灣新北地方法院,114,刑事,216
臺灣新北地方法院,114,民事,28
臺灣新北地方法院,115,刑事,123
臺灣新北地方法院,115,民事,8
臺灣臺北地方法院,112,刑事,204
臺灣臺北地方法院,112,民事,43
臺灣臺北地方法院,113,刑事,197
臺灣臺北地方法院,113,民事,44
臺灣臺北地方法院,114,刑事,182
臺灣臺北地方法院,114,民事,41
臺灣臺北地方法院,115,刑事,109
臺灣臺北地方法院,115,民事,15
臺灣臺南地方法院,112,刑事,177
臺灣臺南地方法院,112,民事,30
臺灣臺南地方法院,112,行政,2
臺灣臺南地方法院,113,刑事,172
臺灣臺南地方法院,113,民事,22
臺灣臺南地方法院,114,刑事,202
臺灣臺南地方法院,114,民事,22
臺灣臺南地方法院,115,刑事,90
臺灣臺南地方法院,115,民事,11
臺灣高雄地方法院,112,刑事,171
臺灣高雄地方法院,112,民事,13
臺灣高雄地方法院,112,行政,4
臺灣高雄地方法院,113,刑事,158
臺灣高雄地方法院,113,民事,15
臺灣高雄地方法院,114,刑事,160
臺灣高雄地方法院,114,民事,17
臺灣高雄地方法院,115,刑事,65
臺灣高雄地方法院,115,民事,8
臺灣彰化地方法院,112,刑事,137
臺灣彰化地方法院,112,民事,4
臺灣彰化地方法院,113,刑事,165
臺灣彰化地方法院,113,民事,2
臺灣彰化地方法院,114,刑事,172
臺灣彰化地方法院,114,民事,8
臺灣彰化地方法院,115,刑事,99
臺灣屏東地方法院,112,刑事,167
臺灣屏東地方法院,112,民事,2
臺灣屏東地方法院,112,行政,1
臺灣屏東地方法院,113,刑事,121
臺灣屏東地方法院,113,民事,8
臺灣屏東地方法院,114,刑事,147
臺灣屏東地方法院,114,民事,6
臺灣屏東地方法院,115,刑事,51
臺灣屏東地方法院,115,民事,4
臺灣橋頭地方法院,112,刑事,102
臺灣橋頭地方法院,112,民事,18
臺灣橋頭地方法院,113,刑事,107
臺灣橋頭地方法院,113,民事,19
臺灣橋頭地方法院,114,刑事,184
臺灣橋頭地方法院,114,民事,21
臺灣橋頭地方法院,115,刑事,43
臺灣橋頭地方法院,115,民事,5
臺灣高等法院 高雄分院,112,刑事,126
臺灣高等法院 高雄分院,112,民事,16
臺灣高等法院 高雄分院,113,刑事,125
臺灣高等法院 高雄分院,113,民事,11
臺灣高等法院 高雄分院,114,刑事,110
臺灣高等法院 高雄分院,114,民事,18
臺灣高等法院 高雄分院,115,刑事,36
臺灣高等法院 高雄分院,115,民事,3
臺灣嘉義地方法院,112,刑事,112
臺灣嘉義地方法院,112,民事,7
臺灣嘉義地方法院,112,行政,1
臺灣嘉義地方法院,113,刑事,126
臺灣嘉義地方法院,113,民事,8
臺灣嘉義地方法院,114,刑事,96
臺灣嘉義地方法院,114,民事,11
臺灣嘉義地方法院,115,刑事,65
臺灣嘉義地方法院,115,民事,5
臺灣士林地方法院,112,刑事,85
臺灣士林地方法院,112,民事,6
臺灣士林地方法院,113,刑事,100
臺灣士林地方法院,113,民事,12
臺灣士林地方法院,114,刑事,112
臺灣士林地方法院,114,民事,15
臺灣士林地方法院,115,刑事,42
臺灣士林地方法院,115,民事,4
臺灣高等法院 臺南分院,112,刑事,125
臺灣高等法院 臺南分院,112,民事,7
臺灣高等法院 臺南分院,113,刑事,101
臺灣高等法院 臺南分院,113,民事,3
臺灣高等法院 臺南分院,114,刑事,82
臺灣高等法院 臺南分院,114,民事,9
臺灣高等法院 臺南分院,115,刑事,33
臺灣高等法院 臺南分院,115,民事,9
臺灣新竹地方法院,112,刑事,115
臺灣新竹地方法院,112,民事,8
臺灣新竹地方法院,113,刑事,85
臺灣新竹地方法院,113,民事,5
臺灣新竹地方法院,114,刑事,103
臺灣新竹地方法院,114,民事,5
臺灣新竹地方法院,115,刑事,35
臺灣新竹地方法院,115,民事,2
最高法院,112,刑事,99
最高法院,112,民事,13
最高法院,113,刑事,85
最高法院,113,民事,10
最高法院,114,刑事,72
最高法院,114,民事,10
最高法院,115,刑事,31
最高法院,115,民事,5
臺灣雲林地方法院,112,刑事,97
臺灣雲林地方法院,112,民事,1
臺灣雲林地方法院,113,刑事,80
臺灣雲林地方法院,113,民事,1
臺灣雲林地方法院,114,刑事,72
臺灣雲林地方法院,114,民事,2
臺灣雲林地方法院,115,刑事,49
臺灣雲林地方法院,115,民事,1
臺灣苗栗地方法院,112,刑事,75
臺灣苗栗地方法院,112,民事,5
臺灣苗栗地方法院,113,刑事,66
臺灣苗栗地方法院,113,民事,4
臺灣苗栗地方法院,114,刑事,71
臺灣苗栗地方法院,114,民事,3
臺灣苗栗地方法院,115,刑事,51
臺灣苗栗地方法院,115,民事,1
臺灣南投地方法院,112,刑事,45
臺灣南投地方法院,112,民事,2
臺灣南投地方法院,113,刑事,59
臺灣南投地方法院,113,民事,1
臺灣南投地方法院,114,刑事,86
臺灣南投地方法院,114,民事,6
臺灣南投地方法院,115,刑事,29
臺灣基隆地方法院,112,刑事,70
臺灣基隆地方法院,112,民事,5
臺灣基隆地方法院,113,刑事,59
臺灣基隆地方法院,113,民事,3
臺灣基隆地方法院,114,刑事,49
臺灣基隆地方法院,114,民事,2
臺灣基隆地方法院,115,刑事,23
臺灣基隆地方法院,115,民事,3
臺灣花蓮地方法院,112,刑事,51
臺灣花蓮地方法院,112,民事,1
臺灣花蓮地方法院,112,行政,1
臺灣花蓮地方法院,113,刑事,63
臺灣花蓮地方法院,113,民事,4
臺灣花蓮地方法院,114,刑事,32
臺灣花蓮地方法院,114,民事,1
臺灣花蓮地方法院,115,刑事,22
臺灣花蓮地方法院,115,民事,1
臺灣宜蘭地方法院,112,刑事,48
臺灣宜蘭地方法院,113,刑事,31
臺灣宜蘭地方法院,113,民事,2
臺灣宜蘭地方法院,114,刑事,37
臺灣宜蘭地方法院,114,民事,3
臺灣宜蘭地方法院,115,刑事,26
臺灣宜蘭地方法院,115,民事,1
臺灣臺東地方法院,112,刑事,39
臺灣臺東地方法院,112,民事,2
臺灣臺東地方法院,113,刑事,36
臺灣臺東地方法院,113,民事,1
臺灣臺東地方法院,114,刑事,43
臺灣臺東地方法院,115,刑事,14
臺北高等行政法院 高等庭,112,行政,18
臺北高等行政法院 高等庭,113,行政,38
臺北高等行政法院 高等庭,114,行政,36
臺北高等行政法院 高等庭,115,行政,13
智慧財產及商業法院,112,刑事,8
智慧財產及商業法院,112,民事,12
智慧財產及商業法院,112,行政,2
智慧財產及商業法院,113,刑事,9
智慧財產及商業法院,113,民事,16
智慧財產及商業法院,113,行政,6
智慧財產及商業法院,114,刑事,9
智慧財產及商業法院,114,民事,16
智慧財產及商業法院,114,行政,4
智慧財產及商業法院,115,刑事,3
智慧財產及商業法院,115,民事,2
智慧財產及商業法院,115,行政,3
臺灣高等法院 花蓮分院,112,刑事,15
臺灣高等法院 花蓮分院,113,刑事,33
臺灣高等法院 花蓮分院,114,刑事,21
臺灣高等法院 花蓮分院,115,刑事,11
最高行政法院,112,行政,26
最高行政法院,113,行政,18
最高行政法院,114,行政,28
最高行政法院,115,行政,8
臺北高等行政法院 地方庭,112,行政,6
臺北高等行政法院 地方庭,113,行政,19
臺北高等行政法院 地方庭,114,行政,20
臺北高等行政法院 地方庭,115,行政,7
高雄高等行政法院 高等庭,112,行政,1
高雄高等行政法院 高等庭,113,行政,21
高雄高等行政法院 高等庭,114,行政,16
高雄高等行政法院 高等庭,115,行政,5
高雄高等行政法院 地方庭,112,行政,5
高雄高等行政法院 地方庭,113,行政,14
高雄高等行政法院 地方庭,114,行政,17
高雄高等行政法院 地方庭,115,行政,5
福建金門地方法院,112,刑事,11
福建金門地方法院,113,刑事,16
福建金門地方法院,114,刑事,9
福建金門地方法院,115,刑事,4
臺北高等行政法院,112,行政,36
憲法法庭,112,憲法法庭,6
憲法法庭,113,憲法法庭,3
憲法法庭,114,憲法法庭,3
憲法法庭,115,憲法法庭,4
臺中高等行政法院 高等庭,113,行政,3
臺中高等行政法院 高等庭,114,行政,6
臺中高等行政法院 高等庭,115,行政,4
臺灣澎湖地方法院,113,刑事,3
臺灣澎湖地方法院,114,刑事,4
臺灣澎湖地方法院,114,民事,1
臺灣澎湖地方法院,115,刑事,3
臺中高等行政法院 地方庭,113,行政,5
臺中高等行政法院 地方庭,114,行政,3
臺中高等行政法院 地方庭,115,行政,2
高雄高等行政法院,112,行政,5
福建高等法院金門分院,112,刑事,2
福建高等法院金門分院,112,民事,1
福建高等法院金門分院,113,民事,1
懲戒法院懲戒法庭,113,懲戒,1
懲戒法院懲戒法庭,114,懲戒,1
懲戒法院懲戒法庭,115,懲戒,1
福建連江地方法院,113,刑事,1
福建連江地方法院,114,刑事,2
臺中高等行政法院,112,行政,1
